"Iteration","Fitness Genetic","Fitness Memetic"
"97","565.3399047851562","559.3799438476562"
"98","565.3399047851562","559.3799438476562"
"99","565.3399047851562","559.3799438476562"
"100","565.3399047851562","559.3799438476562"
"101","565.3399047851562","559.3799438476562"
"102","565.3399047851562","559.3799438476562"
"103","565.3399047851562","559.3799438476562"
"104","565.3399047851562","559.3799438476562"
"105","565.3399047851562","559.3799438476562"
"106","565.3399047851562","559.3799438476562"
"107","565.3399047851562","559.3799438476562"
"108","565.3399047851562","559.3799438476562"
"109","565.3399047851562","559.3799438476562"
"110","565.3399047851562","559.3799438476562"
"111","565.3399047851562","559.3799438476562"
"112","565.3399047851562","559.3799438476562"
"113","565.3399047851562","559.3799438476562"
"114","565.3399047851562","559.3799438476562"
"115","565.3399047851562","559.3799438476562"
"116","565.3399047851562","559.3799438476562"
"117","565.3399047851562","559.3799438476562"
"118","565.3399047851562","559.3799438476562"
"119","565.3399047851562","559.3799438476562"
"120","565.33984375","559.3799438476562"
"121","565.33984375","559.3799438476562"
"122","565.33984375","559.3799438476562"
"123","565.33984375","559.3799438476562"
"124","565.33984375","559.3799438476562"
"125","565.33984375","559.3799438476562"
"126","565.33984375","559.3799438476562"
"127","565.33984375","559.3799438476562"
"128","565.33984375","559.3799438476562"
"129","565.33984375","559.3799438476562"
"130","565.33984375","559.3799438476562"
"131","565.33984375","559.3799438476562"
"132","565.33984375","559.3799438476562"
"133","565.33984375","559.3799438476562"
"134","565.33984375","559.3799438476562"
"135","565.33984375","559.3799438476562"
"136","565.33984375","559.3799438476562"
"137","565.33984375","559.3799438476562"
"138","565.33984375","559.3799438476562"
"139","565.33984375","559.3799438476562"
"140","559.3800048828125","559.3799438476562"
"141","559.3800048828125","559.3799438476562"
"142","559.3800048828125","559.3799438476562"
"143","559.3800048828125","559.3799438476562"
"144","559.3800048828125","559.3799438476562"
"145","559.3800048828125","559.3799438476562"
"146","559.3799438476562","559.3799438476562"
"147","559.3799438476562","559.3799438476562"
"148","559.3799438476562","559.3799438476562"
"149","559.3799438476562","559.3799438476562"
"150","559.3799438476562","553.4201049804688"
"151","559.3799438476562","553.4201049804688"
"152","559.3799438476562","553.4201049804688"
"153","559.3799438476562","553.4201049804688"
"154","559.3799438476562","553.4201049804688"
"155","559.3799438476562","553.4201049804688"
"156","559.3799438476562","553.4201049804688"
"157","559.3799438476562","553.4201049804688"
"158","559.3799438476562","553.4201049804688"
"159","559.3799438476562","553.4201049804688"
"160","559.3799438476562","553.4201049804688"
"161","559.3799438476562","553.4201049804688"
"162","559.3799438476562","553.4201049804688"
"163","559.3799438476562","553.4201049804688"
"164","559.3799438476562","553.4201049804688"
"165","559.3799438476562","553.4201049804688"
"166","559.3799438476562","553.4201049804688"
"167","559.3799438476562","553.4201049804688"
"168","559.3799438476562","553.4201049804688"
"169","559.3799438476562","553.4201049804688"
"170","559.3799438476562","553.4201049804688"
"171","559.3799438476562","553.4201049804688"
"172","559.3799438476562","553.4201049804688"
"173","559.3799438476562","553.4201049804688"
"174","559.3799438476562","553.4201049804688"
"175","559.3799438476562","553.4201049804688"
"176","559.3799438476562","553.4201049804688"
"177","559.3799438476562","553.4201049804688"
"178","559.3799438476562","553.4201049804688"
"179","559.3799438476562","553.4201049804688"
"180","559.3799438476562","553.4201049804688"
"181","559.3799438476562","553.4201049804688"
"182","559.3799438476562","553.4201049804688"
"183","559.3799438476562","553.4201049804688"
"184","559.3799438476562","553.4201049804688"
"185","559.3799438476562","553.4201049804688"
"186","559.3799438476562","553.4201049804688"
"187","559.3799438476562","553.4200439453125"
"188","559.3799438476562","553.4200439453125"
"189","559.3799438476562","553.4200439453125"
"190","559.3799438476562","553.4200439453125"
"191","559.3799438476562","553.4200439453125"
"192","559.3799438476562","553.4200439453125"
"193","559.3799438476562","553.4200439453125"
"194","559.3799438476562","553.4200439453125"
"195","559.3799438476562","553.4200439453125"
"196","559.3799438476562","553.4200439453125"
"197","559.3799438476562","553.4200439453125"
"198","559.3799438476562","553.4200439453125"
"199","559.3799438476562","553.4200439453125"
"200","559.3799438476562","553.4200439453125"
