"Iteration","Fitness Genetic","Fitness Memetic"
"0","595.139892578125","595.139892578125"
"1","583.4700927734375","595.139892578125"
"2","583.4700927734375","583.219970703125"
"3","583.4700927734375","583.219970703125"
"4","583.219970703125","583.219970703125"
"5","583.2199096679688","583.2199096679688"
"6","583.2199096679688","577.260009765625"
"7","583.2198486328125","577.260009765625"
"8","583.2198486328125","577.260009765625"
"9","577.260009765625","577.2599487304688"
"10","577.2599487304688","577.2599487304688"
"11","571.300048828125","577.2599487304688"
"12","571.300048828125","565.3400268554688"
"13","571.300048828125","565.3400268554688"
"14","571.300048828125","565.3400268554688"
"15","571.300048828125","565.3400268554688"
"16","571.300048828125","565.3400268554688"
"17","571.2998657226562","565.3400268554688"
"18","571.2998657226562","565.3400268554688"
"19","571.2998657226562","565.3400268554688"
"20","571.2998657226562","565.3400268554688"
"21","571.2998657226562","565.3400268554688"
"22","571.2998657226562","565.3400268554688"
"23","571.2998657226562","565.3400268554688"
"24","565.3399658203125","565.3400268554688"
"25","565.3399658203125","565.3400268554688"
"26","565.3399658203125","565.3400268554688"
"27","565.3399658203125","565.3400268554688"
"28","565.3399658203125","565.3400268554688"
"29","565.3399658203125","565.3400268554688"
"30","565.3399658203125","565.3400268554688"
"31","565.3399658203125","565.3400268554688"
"32","565.3399658203125","565.3400268554688"
"33","565.3399658203125","565.3400268554688"
"34","565.3399658203125","565.3400268554688"
"35","565.3399658203125","565.3400268554688"
"36","565.3399658203125","565.3400268554688"
"37","565.3399658203125","565.3400268554688"
"38","565.3399658203125","565.3400268554688"
"39","565.3399658203125","565.3400268554688"
"40","565.3399658203125","565.3399047851562"
"41","565.3399658203125","559.3800659179688"
"42","565.3399658203125","559.3800659179688"
"43","565.3399658203125","559.3800659179688"
"44","565.3399658203125","559.3800659179688"
"45","565.3399658203125","559.3800659179688"
"46","565.3399658203125","559.3800659179688"
"47","565.3399658203125","559.3800659179688"
"48","565.3399658203125","559.3799438476562"
"49","565.3399658203125","559.3799438476562"
"50","565.3399658203125","559.3799438476562"
"51","565.3399658203125","559.3799438476562"
"52","565.3399658203125","559.3799438476562"
"53","565.3399658203125","559.3799438476562"
"54","565.3399658203125","559.3799438476562"
"55","565.3399047851562","559.3799438476562"
"56","565.3399047851562","559.3799438476562"
"57","565.3399047851562","559.3799438476562"
"58","565.3399047851562","559.3799438476562"
"59","565.3399047851562","559.3799438476562"
"60","565.3399047851562","559.3799438476562"
"61","565.3399047851562","559.3799438476562"
"62","565.3399047851562","559.3799438476562"
"63","565.3399047851562","559.3799438476562"
"64","565.3399047851562","559.3799438476562"
"65","565.3399047851562","559.3799438476562"
"66","565.3399047851562","559.3799438476562"
"67","565.3399047851562","559.3799438476562"
"68","565.3399047851562","559.3799438476562"
"69","565.3399047851562","559.3799438476562"
"70","565.3399047851562","559.3799438476562"
"71","565.3399047851562","559.3799438476562"
"72","565.3399047851562","559.3799438476562"
"73","565.3399047851562","559.3799438476562"
"74","565.3399047851562","559.3799438476562"
"75","565.3399047851562","559.3799438476562"
"76","565.3399047851562","559.3799438476562"
"77","565.3399047851562","559.3799438476562"
"78","565.3399047851562","559.3799438476562"
"79","565.3399047851562","559.3799438476562"
"80","565.3399047851562","559.3799438476562"
"81","565.3399047851562","559.3799438476562"
"82","565.3399047851562","559.3799438476562"
"83","565.3399047851562","559.3799438476562"
"84","565.3399047851562","559.3799438476562"
"85","565.3399047851562","559.3799438476562"
"86","565.3399047851562","559.3799438476562"
"87","565.3399047851562","559.3799438476562"
"88","565.3399047851562","559.3799438476562"
"89","565.3399047851562","559.3799438476562"
"90","565.3399047851562","559.3799438476562"
"91","565.3399047851562","559.3799438476562"
"92","565.3399047851562","559.3799438476562"
"93","565.3399047851562","559.3799438476562"
"94","565.3399047851562","559.3799438476562"
"95","565.3399047851562","559.3799438476562"
"96","565.3399047851562","559.3799438476562"
